PulseTrain	ClickName	PathType	Delay_us	AmpRatio	Coherence	ClickClass
PulseTrain_001	Click_001	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_001	Click_001	Multipath_1	144.10	3.110994	0.492873	multipath
PulseTrain_001	Click_002	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_001	Click_002	Multipath_1	145.80	3.511318	0.489075	multipath
PulseTrain_001	Click_003	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_001	Click_003	Multipath_1	203.10	2.344517	0.275204	multipath
PulseTrain_001	Click_004	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_001	Click_004	Multipath_1	147.60	2.238932	0.721073	multipath
PulseTrain_001	Click_004	Multipath_2	199.70	4.201783	0.394919	multipath
PulseTrain_002	Click_001	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_001	Multipath_1	253.50	1.015942	0.570296	multipath
PulseTrain_002	Click_002	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_002	Multipath_1	253.50	0.938184	0.728053	multipath
PulseTrain_002	Click_003	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_003	Multipath_1	536.50	14.116647	0.166031	multipath
PulseTrain_002	Click_004	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_004	Multipath_1	253.50	0.903832	0.746120	multipath
PulseTrain_002	Click_005	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_005	Multipath_1	243.10	1.175248	0.558584	multipath
PulseTrain_002	Click_006	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_006	Multipath_1	230.90	1.329417	0.486155	multipath
PulseTrain_002	Click_007	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_007	Multipath_1	229.20	1.308840	0.474348	multipath
PulseTrain_002	Click_008	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_008	Multipath_1	229.20	1.424571	0.498796	multipath
PulseTrain_002	Click_009	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_002	Click_009	Multipath_1	244.80	1.536197	0.486466	multipath
PulseTrain_003	Click_001	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_003	Click_001	Multipath_1	105.90	1.203401	0.632109	multipath
PulseTrain_003	Click_002	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_003	Click_002	Multipath_1	102.40	1.115402	0.629825	multipath
PulseTrain_003	Click_003	Direct	0.00	1.000000	1.000000	isolate
PulseTrain_004	Click_001	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_004	Click_001	Multipath_1	204.90	1.287507	0.522082	multipath
PulseTrain_004	Click_001	Multipath_2	135.40	6.476066	0.172545	multipath
PulseTrain_004	Click_002	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_004	Click_002	Multipath_1	145.80	5.545509	-0.057565	multipath
PulseTrain_004	Click_002	Multipath_2	1972.20	7.629819	0.236175	multipath
PulseTrain_004	Click_003	Direct	0.00	1.000000	1.000000	multipath
PulseTrain_004	Click_003	Multipath_1	107.60	5.837124	-0.116280	multipath
PulseTrain_004	Click_003	Multipath_2	548.60	7.864090	0.045926	multipath
